sku,store_view_code,name,description,short_description
24-MB01,luma_nl_nl,,"<P> De sportieve Joust Duffle Bag kan niet worden overtroffen - niet in de sportschool, niet op de bagageband, nergens. Groot genoeg om een ​​basketbal of voetbal en een aantal trainers met veel ruimte om reserve te halen, is het ideaal voor sporters met plaatsen om te gaan. <P>
<Ul>
<Li> Dubbele top handgrepen. </ Li>
<Li> Verstelbare schouderband. </ Li>
<Li> Full-length rits. </ Li>
<Li> L 29"" x B 13"" H x 11"" . </ Li>
</ Ul>",
24-MB04,luma_nl_nl,,"<P> Gemak is bijna niets wanneer uw dag is vol met actie. Dus of je gaat naar de klas, sportschool, of de ongeslagen pad, zorg ervoor dat je hebt je Streef Shoulder Pack gevuld met al uw essentials, en extra's als goed. </ P>
<Ul>
<Li> ritssluiting hoofdvak. </ Li>
<Li> Voor ritssluiting. </ Li>
<Li> kant gaas. </ Li>
<Li> Mobiele telefoon zak op band. </ Li>
<Li> Verstelbare schouderband en bovenste handvat. </ Li>
</ Ul>",
24-MB03,luma_nl_nl,Crown Summit Rugzak,"<P> The Crown Summit Backpack is even thuis in een sportschool locker, studie kubus of een pup tent, dus zorg ervoor dat de jouwe zit vol met boeken, een tas lunch, flessen water, yoga blok, laptop, of wat je wilt in hand. Robuust genoeg voor dag wandelingen en kamperen, heeft twee grote compartimenten rits en gevoerde, verstelbare schouderbanden. </ P>
<Ul>
<Li> Top handvat. </ Li>
<Li> Grommet gaten. </ Li>
<Li> Twee-weg ritsen. </ Li>
<Li> H 20"" W x 14"" x D 12"" . </ Li>
<Li> Gewicht: 2 pond, 8 oz. Volume:. 29 L </ li>
<Ul>",
24-MB05,luma_nl_nl,,"<P> Perfect voor de klas, het werk of de sportschool, de Wayfarer Messenger Bag zit vol met zakken. De dubbele gesp klepsluiting toont een organisatie-paneel en de ruime hoofdvak nog ruimte voor laptop en andere kleding. Een verstelbare schouderband en gemakkelijk handvat beloven eenvoudig dragen. </ P>
<Ul>
<Li> Multiple interne ritsen. </ Li>
<Li> Gemaakt van duurzaam nylon. </ Li>
</ Ul>",
24-MB06,luma_nl_nl,,"<P> De Rival Field Messenger pakt al uw campus, studio of het pad essentials in een uniek ontwerp van zachte, geweven leer - met veel karakter te sparen. Twee buitenzakken te houden van al uw kleinere items handig, en de ruime interieur biedt nog meer ruimte. </ P>
<Ul>
<Li> leder constructie. </ Li>
<Li> Verstelbare stof draagriem. </ Li>
<Li>. Afmetingen: 18"" x 10"" x 4"" </ li>
</ Ul>",
24-MB02,luma_nl_nl,Fusion Rugzak,"<P> Met de Fusion Backpack vastgebonden, elke tocht is een avontuur - zelfs een bus naar het werk. Dat is deels omdat twee grote compartimenten met ritssluiting slaan alles wat je nodig hebt, terwijl een front met ritssluiting en aan de zijkant mesh pouches zijn perfect voor het wegmoffelen van die kleine extra's, in het geval dat je van gedachten verandert en neem de vrije dag. </ P>
<Ul>
<Li> Duurzame nylon constructie. </ Li>
<Li> 2 main ritssluiting compartimenten. </ Li>
<Li> 1 buitenkant met ritssluiting. </ Li>
<Li> gazen zijzakken. </ Li>
<Li> Padded, verstelbare bandjes. </ Li>
<Li> Top draaggreep. </ Li>
<Li>. Afmetingen: 18"" x 10"" x 6"" </ li>
</ Ul>",
24-UB02,luma_nl_nl,,"<P> Goed voor uitstapjes naar het strand, spoor ontmoet, yoga retraites en nog veel meer, de Impulse Duffle is de metgezel je wilt aan uw zijde. Een groot U-vormige opening maakt het verpakken van een zorgeloos affaire, terwijl een rits binnenzak houdt sieraden en andere kleine kostbaarheden veilig weggestopt uit het zicht. </ P>
<Ul>
<Li> Wheeled. </ Li>
<Li> Dubbele draagriemen. </ Li>
<Li> Retractable top handvat. </ Li>
<Li> W 14"" x H 26"" x D 11"" . </ Li>
</ Ul>",
24-WB01,luma_nl_nl,Voyage Yoga Tas,"<P> Alles wat je nodig hebt voor een reis naar de sportschool zal passen in deze verrassend ruime Voyage Yoga Bag. Stock is met een fles water, verandering van kleding, een paar schoenen, en zelfs een paar beauty producten. Past in een locker en ritsen dicht voor de veiligheid. </ P>
<Ul>
<Li> Slip zak aan de voorzijde. </ Li>
<Li> biezen in contrasterende kleur. </ Li>
<Li> Duurzame nylon constructie. </ Li>
</ Ul>",
24-WB02,luma_nl_nl,Compete Track Tas,"<P> De Compete Track Tote heeft een groot aantal oefening levert met gemak. Stash je handdoek, jas en straat schoenen binnen. Tuck waterflessen in gemakkelijk toegankelijke buitenruimtes. Perfect voor uitstapjes naar de sportschool of yoga studio, met dubbele top handvatten voor het gemak van en naar. <P>
<Ul>
<Li> Twee-weg ritsen. </ Li>
<Li> Contrast detaillering. </ Li>
<Li> W 22.0"" x H 17"" x D 10"" . </ Li>
</ Ul>",
24-WB05,luma_nl_nl,Savvy Schouder Tas,"<P> Powerwalking naar de sportschool of een wandeling naar de plaatselijke koffiehuis, de Savvy Schouder Tote kunt u stash uw hoofdzaak in sportieve stijl! Een top-laadruimte biedt een snelle en gemakkelijke toegang tot grotere objecten, terwijl zakken met ritssluiting aan de voorzijde en hold kant contant geld, creditcards en telefoon. </ P>
<Ul>
<Li> waterdicht omhulsel. </ Li>
<Li> Water fles zak. </ Li>
<Li> Padded gelede schouderriem. </ Li>
<Li> Afmetingen:. B 21"" H x 15"" x D 10"" </ li>
</ Ul>",
